Census Region,Census Region Code,State,State Code,Births,% of Total Births,Total Population,Birth Rate,Female Population,Fertility Rate,Average Birth Weight,Average Age of Mother,Average LMP Gestational Age
Census Region 3: South,CENS-R3,Mississippi,28,480953,1.00%,35702640,13.47,7213302,66.68,3131.02,25.95,38.13
Census Region 3: South,CENS-R3,Tennessee,47,979789,2.04%,77717675,12.61,15477052,63.31,3232.36,26.94,38.43
Census Region 3: South,CENS-R3,Arkansas,5,465498,0.97%,35333373,13.17,6877591,67.68,3228.63,26.2,38.51
Census Region 3: South,CENS-R3,Louisiana,22,759652,1.58%,54984763,13.82,11185083,67.92,3160.75,26.59,38.19
Census Region 3: South,CENS-R3,Oklahoma,40,635096,1.32%,45816037,13.86,9011273,70.48,3259.91,26.48,38.46
Census Region 3: South,CENS-R3,Texas,48,4710891,9.80%,315565530,14.93,66459665,70.88,3234.76,27.32,38.43
Census Region 3: South,CENS-R3,,,18495977,38.46%,1414352368,13.08,284716007,64.96,3230.92,27.47,38.47
Census Region 4: West,CENS-R4,Arizona,4,1059635,2.20%,79524134,13.32,15554362,68.12,3284.46,27.49,38.59
Census Region 4: West,CENS-R4,Colorado,8,797363,1.66%,62923437,12.67,12831966,62.14,3195.62,28.6,38.69
Census Region 4: West,CENS-R4,Idaho,16,276523,0.57%,19397980,14.26,3770182,73.34,3305.9,27.36,38.75
Census Region 4: West,CENS-R4,Montana,30,146523,0.30%,12144869,12.06,2212561,66.22,3290.64,27.56,38.71
Census Region 4: West,CENS-R4,Nevada,32,439327,0.91%,33614740,13.07,6750961,65.08,3231.48,27.87,38.53
Census Region 4: West,CENS-R4,New Mexico,35,321716,0.67%,24784956,12.98,4767820,67.48,3191.54,26.62,38.65
Census Region 4: West,CENS-R4,Utah,49,618744,1.29%,34574438,17.9,7541954,82.04,3269.37,27.93,38.58
Census Region 4: West,CENS-R4,Wyoming,56,90295,0.19%,6844437,13.19,1293693,69.8,3194.87,27,38.63
Census Region 4: West,CENS-R4,Alaska,2,133792,0.28%,8660471,15.45,1741312,76.83,3404.74,27.55,38.82
Census Region 4: West,CENS-R4,California,6,6066023,12.61%,457426729,13.26,95622384,63.44,3296.1,28.91,38.71
Census Region 4: West,CENS-R4,Hawaii,15,222934,0.46%,16653833,13.39,3171105,70.3,3237.03,28.68,38.76
Census Region 4: West,CENS-R4,Oregon,41,549088,1.14%,47258286,11.62,9286237,59.13,3358.5,28.45,38.91
Census Region 4: West,CENS-R4,Washington,53,1057894,2.20%,83575455,12.66,16727687,63.24,3357.19,28.69,38.88
Census Region 4: West,CENS-R4,,,11779857,24.49%,887383765,13.27,181272224,64.98,3289.48,28.48,38.71
,,,,48092250,100.00%,3778767037,12.73,756307965,63.59,3265.85,28.1,38.61
